iter	Passed	Remaining
0	4	431
1	7	352
2	9	315
3	12	293
4	15	285
5	18	282
6	21	281
7	24	279
8	27	279
9	31	279
10	35	284
11	38	285
12	42	286
13	46	286
14	50	286
15	54	285
16	58	285
17	61	280
18	64	275
19	67	270
20	70	266
21	73	261
22	76	256
23	78	249
24	80	242
25	83	236
26	85	230
27	87	224
28	88	217
29	90	211
30	92	205
31	93	198
32	95	193
33	96	187
34	98	182
35	100	178
36	101	173
37	103	168
38	104	164
39	106	159
40	108	155
41	109	151
42	110	147
43	112	143
44	114	139
45	116	136
46	117	133
47	119	129
48	121	125
49	122	122
50	124	119
51	125	115
52	127	112
53	128	109
54	130	106
55	132	103
56	133	100
57	135	97
58	136	94
59	138	92
60	139	89
61	141	86
62	142	83
63	144	81
64	146	78
65	148	76
66	150	74
67	152	71
68	153	69
69	155	66
70	156	64
71	158	61
72	159	59
73	161	56
74	163	54
75	165	52
76	167	49
77	169	47
78	170	45
79	172	43
80	173	40
81	175	38
82	177	36
83	179	34
84	180	31
85	182	29
86	183	27
87	185	25
88	186	23
89	188	20
90	190	18
91	192	16
92	193	14
93	195	12
94	196	10
95	198	8
96	199	6
97	201	4
98	202	2
99	204	0
